date,generation_mwh_per_mw,asset_id,asset_name,technology,latitude,longitude,capacity_mw,ownership_fraction,generation_mwh_est,generation_mwh_est_owned,temp_2m_k,temp_2m_c,precip_m,precip_mm,solar_radiation_j_m2,wind_u10,wind_v10,wind_speed_10m,selected_grid_lat,selected_grid_lon,country,ownership_pct,operational_status,start_of_operations,commissioning_year,portfolio_capacity_pct,remaining_asset_life_years,power_price_gbp_mwh,generation_per_mw,revenue_proxy_gbp,year,month,pre_operational_flag,temp_2m_c_lag1,precip_mm_lag1,solar_radiation_j_m2_lag1,wind_speed_10m_lag1,power_price_gbp_mwh_lag1,temp_2m_c_roll3_mean,precip_mm_roll3_mean,solar_radiation_j_m2_roll3_mean,wind_speed_10m_roll3_mean,temp_2m_c_anomaly,precip_mm_anomaly,solar_radiation_j_m2_anomaly,wind_speed_10m_anomaly
2019-06-01,0.2217599999999999,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,5.100479999999999,2.6012447999999995,285.09055,11.940552,0.0037233173,3.7233174,18432702.0,0.14376736,0.64984226,0.6655554,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,19.597960181627663,0.11309759999999998,50.979092013066,2019,6,1,9.019623,2.137896,16634854.0,0.5402748,19.958670303443572,7.129994766666666,2.892481566666667,12818444.0,1.8250435999999999,-1.1143841428571424,1.0208626142857145,1475319.428571429,-0.30209260714285713
2019-07-01,0.187488,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,4.312224,2.19923424,288.4002,15.250214,0.004011247,4.0112467,15542358.0,1.0728998,0.6985731,1.2802806,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,20.351637466307277,0.09561888,44.75801795596981,2019,7,1,11.940552,3.7233174,18432702.0,0.6655554,19.597960181627663,9.459391433333332,2.480969366666667,16440054.0,1.0528876666666667,0.8128402857142856,0.9884045714285712,792544.8571428563,-0.1523774642857143
2019-08-01,0.259656,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,5.972088,3.04576488,287.2795,14.129517,0.0061663208,6.166321,12762152.0,1.2072887,1.8210325,2.1848812,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,18.61644910382144,0.13242456,56.701326870726824,2019,8,1,15.250214,4.0112467,15542358.0,1.2802806,20.351637466307277,12.070129666666666,3.290820033333333,16869971.333333332,0.8287036,0.24744557142857282,2.0059907285714287,780778.2857142854,0.6614557642857142
2019-09-01,0.23328,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,5.3654399999999995,2.7363744,284.529,11.378998,0.0039198464,3.9198463,8874342.0,1.2825947,0.7213707,1.4715383,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,17.115431154381085,0.11897279999999999,46.83422765581085,2019,9,1,14.129517,6.166321,12762152.0,2.1848812,18.61644910382144,13.773427666666668,4.633628366666667,15579070.666666666,1.3769057333333332,-0.46592485714285914,1.2142015714285717,1030382.3571428573,0.08267223428571424
2019-10-01,0.2693279999999999,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,6.194543999999999,3.1592174399999995,280.39117,7.2411804,0.0034032592,3.4032593,5597434.0,0.31798172,0.61386967,0.69133806,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,18.07485145172181,0.13735727999999997,57.10238593168885,2019,10,1,11.378998,3.9198463,8874342.0,1.4715383,17.115431154381085,13.586243000000001,4.699138,12392950.666666666,1.6455667,-1.5861466571428577,-0.7546868571428567,1337259.9142857138,-0.7683737442857143
2019-11-01,0.21456,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,4.93488,2.5167888,277.0406,3.8905945,0.0025846413,2.5846412,2467336.0,-1.1938486,-1.375289,1.8211794,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,21.90295997191011,0.1094256,55.12512434415168,2019,11,1,7.2411804,3.4032593,5597434.0,0.69133806,18.07485145172181,10.916565133333334,4.496475533333333,9077976.0,1.44925252,-1.7530822714285716,-0.40930925714285715,367376.57142857136,0.02829375714285698
2019-12-01,0.342984,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,7.888632,4.02320232,276.91083,3.7608337,0.0034579947,3.4579947,1303376.0,1.4414368,2.025528,2.4860618,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,18.520158142664872,0.17492184000000002,74.5103432063362,2019,12,1,3.8905945,2.5846412,2467336.0,1.8211794,21.90295997191011,7.503590966666667,3.3025822666666667,5646370.666666667,1.3280185866666667,0.028233042857142898,0.04140007142857183,196276.85714285704,0.9389821714285715
2020-01-01,0.400272,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,9.206256000000002,4.695190560000001,277.68063,4.5306396,0.004175307,4.1753073,1539968.0,2.4720201,2.7253275,3.6794422,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,17.282544704264097,0.20413872000000005,81.1448407482388,2020,1,1,3.7608337,3.4579947,1303376.0,2.4860618,18.520158142664872,4.964202866666667,3.1486317333333336,3122715.3333333335,1.6661930866666665,1.9015066914285712,1.342601471428572,-240057.71428571432,1.4941052142857143
2020-02-01,0.455184,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,10.469232000000002,5.339308320000001,276.23315,3.0831604,0.008915952,8.915953,4367190.0,3.1730633,2.5154505,4.0491757,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,14.88881337648328,0.23214384000000002,79.49596513598448,2020,2,1,4.5306396,4.1753073,1539968.0,3.6794422,17.282544704264097,4.0606892666666665,3.405981066666667,1770226.6666666667,2.6622278,-0.547363271428571,4.710109271428571,555897.4285714286,1.5294706714285713
2020-03-01,0.319176,ONW_002,Crossdykes,onshore_wind,55.1941,-3.1698,23.0,0.51,7.341048000000001,3.743934480000001,277.24667,4.0966797,0.0030854503,3.0854502,9192442.0,1.2479334,1.198206,1.7300391,55.20000000000135,356.80000000001263,UK,51%,operational,2021-06-30,4,3%,26,14.295958950201882,0.16277976000000005,53.52313363832544,2020,3,1,3.0831604,8.915953,4367190.0,4.0491757,14.88881337648328,3.791544566666666,5.516418333333334,2403511.3333333335,3.404893233333333,-0.36938912857142814,-0.060074314285714525,1462558.7857142854,0.13191064285714282
